x,y,z,nx,ny,nz,sk
-3.4742543873e-01,-3.2346927567e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.3264000397e-03
2.3250634179e-01,-9.1801460936e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.7440000343e-03
6.7922100308e-01,-1.1016456345e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.6936000247e-03
-1.0000000000e+00,-6.3460159958e-01,9.2574394193e-02,-1.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,3.6192000332e-03
6.3614005261e-01,-8.6219506192e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.7960000348e-03
2.5376292071e-01,3.9999344345e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.3592000308e-03
7.0631292864e-01,4.8251322399e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.5256000323e-03
-1.0000000000e+00,-7.0909624827e-01,1.2389574373e-01,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.9504000454e-03
3.3964442467e-01,-1.0828042382e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.8896000357e-03
-9.5653266363e-01,-4.9723799892e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.9640000272e-03
-7.7680956396e-01,6.7812259925e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.3160000396e-03
5.2773326827e-01,-1.7509852005e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.3368000398e-03
-7.8093754864e-01,-3.6066342988e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.9936000366e-03
-4.6468359829e-01,1.1861801835e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.6208000240e-03
-9.7879143699e-01,-3.5173880773e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.7544000344e-03
6.5896315912e-01,-7.8030813427e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.9520000362e-03
-8.9798226695e-01,9.8371295317e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.1184000378e-03
-3.5711496909e-01,-1.0000000000e+00,-1.4629343193e-01,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.9000000358e-03
-6.0165264562e-01,7.6631100151e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.2760000300e-03
-4.2980746721e-01,-5.9389046982e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.7856000347e-03
-1.0000000000e+00,2.7275113316e-01,-1.4502746280e-01,-1.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,4.2848000393e-03
-9.6611398285e-01,3.1422179983e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.3712000217e-03
4.6427160727e-01,-4.5731095842e-02,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.1512000289e-03
1.2806959311e-01,-1.0000000000e+00,-7.3316407830e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,2.2568000207e-03
2.2286376638e-01,1.0000000000e+00,-3.4989328332e-03,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,2.4024000220e-03
1.0000000000e+00,6.2722459542e-01,-3.9488115987e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9832000365e-03
-8.7443450916e-01,8.9509229164e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.3176000304e-03
1.5529582541e-01,3.0091676315e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,5.0856000466e-03
-4.0676869774e-01,-1.5154915880e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.7648000345e-03
8.8600174302e-01,4.8333065858e-03,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,2.2464000206e-03
1.0000000000e+00,8.1598545463e-01,-1.1813359712e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.3040000486e-03
-5.0937858238e-01,9.7503877424e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.1512000289e-03
5.8089951815e-01,9.6144423008e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5776000328e-03
2.5756825596e-01,-1.0000000000e+00,6.5874172221e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,4.2120000386e-03
-9.3337183124e-01,-5.8871350818e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.0368000278e-03
9.8864561454e-01,2.2730959683e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.3784000401e-03
-5.3736962026e-01,3.9477264407e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.0560000372e-03
-4.4021189030e-01,6.4950441457e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.3888000402e-03
9.8312036118e-01,2.3959807069e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5464000325e-03
-4.2077550411e-01,8.0452810634e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.8480000353e-03
-4.9919743087e-01,7.3023513646e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.2448000298e-03
1.0000000000e+00,-1.8786528226e-01,-4.7309967594e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1408000288e-03
-5.9064714945e-01,-8.0133982081e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4632000318e-03
-4.3513315227e-01,-8.7511775271e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.9224000268e-03
